uid,step,x,y,sim_time_min
0,0,6377.365849497105,7098.438428936124,0
0,1,929.820539797871,7536.303769471647,1
0,2,13653.169375245567,4775.549426405399,2
0,3,5905.7839034047,4073.082811969138,3
0,4,6246.541407994129,4377.156785294826,4
0,5,338.9883726509853,3179.5562488003134,5
0,6,13010.885967180204,9456.646120009535,6
0,7,13730.372292766295,13016.538776332325,7
0,8,14969.912191139083,5207.469679088221,8
0,9,9842.605991825729,7014.653368689369,9
0,10,3128.92550681913,10985.406459505983,10
0,11,9933.888316000819,11739.56316780406,11
0,12,3020.129501775787,9694.310623605186,12
0,13,12246.232380714553,2767.331053786415,13
0,14,5607.5426958545795,1239.9395382532205,14
0,15,25002.249198703874,34479.00200477988,15
0,16,38592.80272353833,37436.59956129898,16
0,17,28893.025536079953,28565.860825603973,17
0,18,27191.181874329806,36734.6443818815,18
0,19,39771.69321782701,38290.0090542627,19
0,20,35148.39096447267,25047.23731053516,20
0,21,28082.211716819074,30365.94449169407,21
0,22,38187.36499674685,29559.161803074065,22
0,23,31030.035261271303,36382.50448109352,23
0,24,26476.89071144341,29556.41363722267,24
0,25,37855.14254684555,37666.9552199983,25
0,26,34019.983239056375,37115.39843148857,26
0,27,31499.394171341,37845.63301600736,27
0,28,35161.21520088712,25086.38082673816,28
0,29,27298.86354127199,34039.84973965406,29
0,30,12370.82319636252,25108.284130383563,30
0,31,1360.480969429505,25016.438534734105,31
0,32,7641.400978329242,34366.603013606655,32
0,33,9041.75799899303,26272.560460395365,33
0,34,7800.813001389022,35769.33330206043,34
0,35,701.8512459086419,28229.40236381157,35
0,36,5980.987647670421,25307.19611508596,36
0,37,457.3228209930535,33202.998435848254,37
0,38,8292.379171633755,37619.95348156907,38
0,39,11417.772620988644,26305.196978487245,39
0,40,9305.432647904612,30063.46678652417,40
0,41,1855.065086723221,26677.51068682491,41
0,42,2460.4492668331004,33446.222012344835,42
0,43,6021.9507914014375,25488.110073940312,43
0,44,2073.0008056994084,25052.098758071726,44
0,45,39746.84243098459,9572.507320518653,45
0,46,36777.12282070854,7326.365965434074,46
0,47,33961.19821185792,1066.6823366042909,47
0,48,30577.689187946817,2635.5312898042025,48
0,49,29604.792163452512,14066.014714155262,49
