uid,step,x,y,sim_time_min
0,0,3343.030452124018,4678.851582613324,0
0,1,12407.633752186219,14570.107101450776,1
0,2,9768.177254875181,6805.561840978244,2
0,3,10466.483422562835,3653.979803809483,3
0,4,9223.58993424325,10546.383743043212,4
0,5,1690.764685973955,10500.520865168099,5
0,6,14145.548592374736,10634.922745151682,6
0,7,12014.725597762836,3012.767882226571,7
0,8,1466.644859654643,3967.0238924561386,8
0,9,3540.7628352978304,10365.790423206701,9
0,10,1528.3044726308526,14168.877395657728,10
0,11,2361.415952444563,795.0754104112458,11
0,12,13683.561217222665,6662.445837877217,12
0,13,3126.1508041396596,10354.031395444736,13
0,14,8172.308527755352,9070.598545272058,14
0,15,18854.64575209066,21311.98679954845,15
0,16,26257.672840747626,16479.49955311233,16
0,17,22145.860455146503,29473.68080709586,17
0,18,19893.75066267299,18828.332657324012,18
0,19,18851.674516000192,15549.704070069616,19
0,20,15001.427441996231,19895.06826493603,20
0,21,23220.950604677146,15270.111140864417,21
0,22,28770.091538397508,20580.752000034216,22
0,23,28004.91035620722,19675.49450492098,23
0,24,24257.084607520286,15593.198980234829,24
0,25,20912.1960868774,28375.817304085926,25
0,26,27545.68030214691,20735.799089835928,26
0,27,20525.923357322106,27775.23376520494,27
0,28,15548.843063143053,29761.592401817637,28
0,29,29620.19217709171,26635.92693197747,29
0,30,12352.391050249056,18868.150926957424,30
0,31,1772.5375643268883,18571.19920635961,31
0,32,8835.825364679768,19519.19435815457,32
0,33,5771.957003911326,26556.096585826162,33
0,34,5934.940442168803,24651.28667227825,34
0,35,7557.69773442559,23113.346280000056,35
0,36,4322.773959285765,27698.401944223115,36
0,37,12530.164203819097,23018.500265160117,37
0,38,3565.6802355078325,16256.274804321929,38
0,39,9888.4578728766,24923.977153480962,39
0,40,9078.67074995885,21454.300896653134,40
0,41,5486.334734386868,20724.41341644791,41
0,42,10881.950396040022,27466.6676367244,42
0,43,5592.322885365317,22240.89296137202,43
0,44,1490.1342553912098,29171.66940697316,44
0,45,27572.012574218825,2472.070269400284,45
0,46,20093.258678515405,10664.34612605994,46
0,47,22874.850136539473,8766.738849637686,47
0,48,23789.597882867318,9042.510423976239,48
0,49,26692.217113968898,4405.526764316716,49
0,50,18645.890529574084,10625.403710160763,50
0,51,29642.745987040493,14401.434929799272,51
0,52,18968.77910797477,12875.499662387054,52
0,53,26970.046181653306,7417.684183993155,53
0,54,27609.70705516749,12433.853785801588,54
0,55,26881.074822535105,12780.246860253368,55
0,56,29320.913278594737,388.87456235824453,56
0,57,29933.19324771343,14144.959226521041,57
0,58,16273.30128617783,5413.214777528406,58
0,59,20029.78417852373,3168.434508690724,59
