Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
20,31.5,4,0,0,0.1894,124968.01,124968.01
20,31.5,4,1,0,0.1894,124936.01,124936.01
20,31.5,4,2,0,0.1894,124904.02,124904.02
20,31.5,4,3,0,0.1894,124872.02,124872.02
20,31.5,5,4,0,0.1894,124840.03,124840.03
20,31.5,4,5,0,0.1894,124808.03,124808.03
20,31.5,4,6,0,0.1894,124776.04,124776.04
20,31.5,4,7,0,0.1894,124744.04,124744.04
20,31.5,4,8,0,0.1894,124712.05,124712.05
20,31.5,4,9,0,0.1894,124680.05,124680.05
20,31.5,5,10,0,0.1338,124471.63,122179.0
20,31.5,6,11,0,0.1338,124439.64,122147.01
20,31.5,5,12,0,0.1338,124407.64,122115.01
20,31.5,5,13,0,0.1338,124375.65,122083.02
20,31.5,5,14,0,0.1338,124343.65,122051.03
20,31.5,6,15,0,0.1338,124311.66,122019.03
20,31.5,5,16,0,0.1338,124279.67,121987.04
20,31.5,5,17,0,0.1338,124247.67,121955.04
20,31.5,6,18,0,0.1338,124215.68,121923.05
20,31.5,5,19,0,0.1338,124183.68,121891.05
20,34.5,5,20,0,0.1894,123975.26,119390.0
20,34.5,4,21,0,0.1894,123943.27,119358.01
20,34.5,4,22,0,0.1894,123911.27,119326.01
20,34.5,5,23,0,0.1894,123879.28,119294.02
20,34.5,4,24,0,0.1894,123847.28,119262.02
20,34.5,4,25,0,0.1894,123815.29,119230.03
20,34.5,4,26,0,0.1894,123783.29,119198.04
20,34.5,5,27,0,0.1894,123751.3,119166.04
20,34.5,4,28,0,0.1894,123719.3,119134.05
20,34.5,4,29,0,0.1894,123687.31,119102.05
20,37.0,5,30,0,0.1667,123478.89,119102.05
