Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
18,23.5,5,0,0,0.1439,124968.01,124968.01
18,23.5,5,1,0,0.1439,124936.01,124936.01
18,23.5,6,2,0,0.1439,124904.02,124904.02
18,23.5,5,3,0,0.1439,124872.02,124872.02
18,23.5,5,4,0,0.1439,124840.03,124840.03
18,23.5,6,5,0,0.1439,124808.03,124808.03
18,23.5,5,6,0,0.1439,124776.04,124776.04
18,23.5,6,7,0,0.1439,124744.04,124744.04
18,23.5,5,8,0,0.1439,124712.05,124712.05
18,23.5,5,9,0,0.1439,124680.05,124680.05
18,24.5,5,10,0,0.1566,124471.63,122179.0
18,24.5,5,11,0,0.1566,124439.64,122147.01
18,24.5,5,12,0,0.1566,124407.64,122115.01
18,24.5,5,13,0,0.1566,124375.65,122083.02
18,24.5,5,14,0,0.1566,124343.65,122051.03
18,24.5,5,15,0,0.1566,124311.66,122019.03
18,24.5,5,16,0,0.1566,124279.67,121987.04
18,24.5,5,17,0,0.1566,124247.67,121955.04
18,24.5,5,18,0,0.1566,124215.68,121923.05
18,24.5,5,19,0,0.1566,124183.68,121891.05
18,24.5,6,20,0,0.1566,124181.02,121891.05
18,24.5,5,21,0,0.1566,124149.02,121859.06
18,24.5,5,22,0,0.1566,124117.03,121827.06
18,24.5,5,23,0,0.1566,124085.03,121795.07
18,24.5,5,24,0,0.1566,124053.04,121763.07
18,24.5,6,25,0,0.1566,124021.04,121731.08
18,24.5,5,26,0,0.1566,123989.05,121699.09
18,24.5,5,27,0,0.1566,123957.05,121667.09
18,24.5,5,28,0,0.1566,123925.06,121635.1
18,24.5,5,29,0,0.1566,123893.06,121603.1
18,26.0,5,30,0,0.1566,123823.18,121603.1
