uid,step,x,y,sim_time_min
0,0,2787.9827462833387,1583.5458127424647,0
0,1,7253.45691390935,10255.297790999608,1
0,2,2914.554787285807,1380.8772848171054,2
0,3,6380.062019736611,12869.683666374978,3
0,4,3004.277006385944,14317.721865729125,4
0,5,2609.589585032681,9331.795315605023,5
0,6,8417.030258071301,1140.18313491093,6
0,7,13284.810891145624,4270.514946451875,7
0,8,14146.998571313803,6092.266737267678,8
0,9,6036.914054397714,13781.558018500413,9
0,10,7114.714487163371,9051.899362084218,10
0,11,1783.9891559289717,317.51431319827583,11
0,12,14048.207629891098,13374.665178757818,12
0,13,6075.219960380326,7964.886296061647,13
0,14,4575.360171556124,4212.335714261356,14
0,15,27813.25561990905,23259.1573536011,15
0,16,25251.44070481411,19487.239846703233,16
0,17,28549.235066954323,16253.395997150272,17
0,18,28492.151720878555,25148.093053954002,18
0,19,21121.44355469223,15216.883032334717,19
0,20,28075.46855502315,26218.76665969545,20
0,21,15736.37361176002,20277.092674259835,21
0,22,22628.15598695344,20863.057002106296,22
0,23,21324.11343121551,22783.663833897815,23
0,24,21799.18238576253,28419.63667395747,24
0,25,29607.50926949834,24538.96694453599,25
0,26,20427.978952076286,15335.559957983893,26
0,27,15172.599144804108,24526.32378570002,27
0,28,26152.441998411643,22345.752905049467,28
0,29,20946.926493411607,20329.747491347553,29
0,30,7673.447977078068,28534.29513672921,30
0,31,393.99997856523976,29129.9878280923,31
0,32,14425.381488093717,19784.716250669277,32
0,33,2140.444118388421,26896.370976157552,33
0,34,2266.1079528638425,21557.408391916284,34
0,35,11453.04117556179,18438.556101606177,35
0,36,6238.062544874339,16773.23117811474,36
0,37,9783.152926908451,25279.510315848263,37
0,38,13097.310482049665,15345.22239364095,38
0,39,5385.42080634467,21884.32565127975,39
0,40,5435.736787934069,19206.284711239634,40
0,41,667.0908697105144,19242.495581720053,41
0,42,4736.919596832554,20476.665474440462,42
0,43,4991.507287860308,18959.396859616216,43
0,44,6364.187728593147,19096.939289633723,44
1,0,11005.217628265862,10250.204563373962,0
1,1,103.76696559502389,1383.0350311377001,1
1,2,5392.212607130152,5198.839659640276,2
1,3,13328.328870020103,3674.1354596012065,3
1,4,4344.74452913319,7629.393671807485,4
1,5,14613.99998598726,5129.971269423865,5
1,6,8818.58695382295,970.1313807492629,6
1,7,2706.65196493973,6136.91731960345,7
1,8,1931.7062190566883,2474.95041869382,8
1,9,1815.2362944031277,5835.3003485989075,9
